distance_m,sample_index,timestamp_ms,rssi_raw_dbm,rssi_filt_dbm,dist_est_m
10.5,30,2542588,-91,-89.7,30.6
10.5,31,2543588,-91,-89.9,31.3
10.5,32,2544588,-90,-89.9,31.4
10.5,33,2545588,-88,-89.6,30.3
10.5,34,2546588,-90,-89.7,30.5
10.5,35,2547588,-87,-89.3,29.1
10.5,36,2548588,-89,-89.2,29.0
10.5,37,2549588,-97,-90.4,33.1
10.5,38,2550588,-95,-91.1,35.9
10.5,39,2551588,-89,-90.8,34.6
10.5,40,2552588,-99,-92.0,39.9
10.5,41,2553588,-95,-92.5,42.0
10.5,42,2554588,-89,-91.9,39.6
10.5,43,2555588,-88,-91.4,36.9
10.5,44,2556588,-84,-90.2,32.5
10.5,45,2557588,-89,-90.1,31.8
10.5,46,2558588,-87,-89.6,30.2
10.5,47,2559588,-91,-89.8,30.9
10.5,48,2560608,-88,-89.5,30.0
10.5,49,2561608,-86,-89.0,28.2
10.5,50,2562608,-86,-88.6,26.8
12.0,1,2641608,-95,-90.6,33.7
12.0,2,2642608,-88,-90.2,32.3
12.0,3,2643608,-89,-90.0,31.6
12.0,4,2644608,-89,-89.8,31.1
12.0,5,2645608,-97,-90.9,35.2
12.0,6,2646608,-87,-90.3,32.9
12.0,7,2647608,-90,-90.3,32.7
12.0,8,2648608,-87,-89.8,30.9
12.0,9,2649608,-87,-89.4,29.4
12.0,10,2650608,-87,-89.0,28.2
12.0,11,2651608,-87,-88.7,27.3
12.0,12,2652608,-88,-88.6,26.9
12.0,13,2653608,-94,-89.4,29.6
12.0,14,2654608,-94,-90.1,32.0
12.0,15,2655608,-88,-89.8,30.9
12.0,16,2656608,-94,-90.4,33.2
12.0,17,2657628,-86,-89.8,30.7
12.0,18,2658628,-90,-89.8,30.9
12.0,19,2659628,-99,-91.2,36.2
12.0,20,2660628,-91,-91.1,36.1
12.0,21,2661628,-89,-90.8,34.8
12.0,22,2662628,-93,-91.2,36.1
12.0,23,2663628,-94,-91.6,37.9
12.0,24,2664628,-94,-91.9,39.5
12.0,25,2665628,-88,-91.4,36.9
12.0,26,2666628,-89,-91.0,35.5
12.0,27,2667628,-90,-90.8,34.9
12.0,28,2668628,-94,-91.3,36.8
12.0,29,2669628,-91,-91.3,36.6
12.0,30,2670628,-95,-91.8,39.0
12.0,31,2671628,-89,-91.4,37.2
12.0,32,2672628,-92,-91.5,37.6
12.0,33,2673628,-95,-92.0,39.9
12.0,34,2674628,-90,-91.7,38.5
12.0,35,2675628,-87,-91.0,35.5
12.0,36,2676628,-90,-90.9,34.9
12.0,37,2677628,-96,-91.6,38.2
12.0,38,2678628,-91,-91.5,37.7
12.0,39,2679628,-90,-91.3,36.8
12.0,40,2680628,-89,-91.0,35.3
12.0,41,2681628,-89,-90.7,34.1
12.0,42,2682628,-99,-91.9,39.4
12.0,43,2683628,-88,-91.3,36.8
12.0,44,2684628,-83,-90.1,31.9
12.0,45,2685628,-85,-89.3,29.2
12.0,46,2686628,-89,-89.3,29.1
12.0,47,2687628,-86,-88.8,27.5
12.0,48,2688628,-90,-89.0,28.1
12.0,49,2689628,-86,-88.5,26.7
12.0,50,2690628,-88,-88.4,26.4
